GO term	GO size	Size pivot	GO name	CI quantile (GO)	CI quantile (17k random)	Number of random subsets
GO:0030407	1	1	formimidoyltransferase activity	0.24195989406	0.26919258769	30220
GO:0032602	2	2	chemokine production	0.268252212389	0.269342159702	24170
GO:0003218	2	2	cardiac left ventricle formation	0.268805309735	0.269590401324	24170
GO:0045686	2	2	negative regulation of glial cell differentiation	0.269174041298	0.269838642946	24170
GO:0005088	110	128	Ras guanyl-nucleotide exchange factor activity	0.455882352941	0.269902912621	2060
GO:0071456	99	128	cellular response to hypoxia	0.576923076923	0.269902912621	2060
GO:0047023	2	2	androsterone dehydrogenase activity	0.269542772861	0.270045510964	24170
GO:0002540	1	1	leukotriene production involved in inflammatory response	0.242432841468	0.270052945069	30220
GO:0004008	2	2	copper-exporting ATPase activity	0.275258112094	0.270128258171	24170
GO:1903566	2	2	positive regulation of protein localization to cilium	0.275258112094	0.270128258171	24170
GO:0017057	2	2	6-phosphogluconolactonase activity	0.275258112094	0.270128258171	24170
GO:0003870	2	2	5-aminolevulinate synthase activity	0.275258112094	0.270128258171	24170
GO:0035669	2	2	TRAM-dependent toll-like receptor 4 signaling pathway	0.275258112094	0.270128258171	24170
GO:0032258	2	2	protein localization by the Cvt pathway	0.275258112094	0.270128258171	24170
GO:0047288	2	2	monosialoganglioside sialyltransferase activity	0.275258112094	0.270128258171	24170
GO:0071314	2	2	cellular response to cocaine	0.275258112094	0.270128258171	24170
GO:0002866	2	2	positive regulation of acute inflammatory response to antigenic stimulus	0.275258112094	0.270128258171	24170
GO:0004723	2	2	calcium-dependent protein serine/threonine phosphatase activity	0.275258112094	0.270128258171	24170
GO:0000962	2	2	positive regulation of mitochondrial RNA catabolic process	0.275258112094	0.270128258171	24170
GO:0034391	2	2	regulation of smooth muscle cell apoptotic process	0.275258112094	0.270128258171	24170
GO:0006568	2	2	tryptophan metabolic process	0.275258112094	0.270128258171	24170
GO:0001579	2	2	medium-chain fatty acid transport	0.275258112094	0.270128258171	24170
GO:0032470	2	2	positive regulation of endoplasmic reticulum calcium ion concentration	0.275258112094	0.270128258171	24170
GO:0001555	2	2	oocyte growth	0.275258112094	0.270128258171	24170
GO:0007525	2	2	somatic muscle development	0.275258112094	0.270128258171	24170
GO:0002191	2	2	cap-dependent translational initiation	0.275258112094	0.270128258171	24170
GO:0004828	2	2	serine-tRNA ligase activity	0.275258112094	0.270128258171	24170
GO:0018126	2	2	protein hydroxylation	0.275258112094	0.270128258171	24170
GO:0031959	2	2	mineralocorticoid receptor signaling pathway	0.275258112094	0.270128258171	24170
GO:0032116	2	2	SMC loading complex	0.275258112094	0.270128258171	24170
GO:0003156	2	2	regulation of animal organ formation	0.275258112094	0.270128258171	24170
GO:0010533	1	1	regulation of activation of Janus kinase activity	0.242716609913	0.270350761085	30220
GO:0008887	1	1	glycerate kinase activity	0.242905788876	0.270483123759	30220
GO:0021814	1	1	cell motility involved in cerebral cortex radial glia guided migration	0.243284146803	0.270516214428	30220
GO:0003026	1	1	regulation of systemic arterial blood pressure by aortic arch baroreceptor feedback	0.245459704881	0.270747849107	30220
GO:0034397	1	1	telomere localization	0.245459704881	0.270747849107	30220
GO:0001906	1	1	cell killing	0.245459704881	0.270747849107	30220
GO:0021872	1	1	forebrain generation of neurons	0.245459704881	0.270747849107	30220
GO:0061609	1	1	fructose-1-phosphate aldolase activity	0.245459704881	0.270747849107	30220
GO:1990829	1	1	C-rich single-stranded DNA binding	0.245459704881	0.270747849107	30220
GO:1902630	1	1	regulation of membrane hyperpolarization	0.245459704881	0.270747849107	30220
GO:1990478	1	1	response to ultrasound	0.245459704881	0.270747849107	30220
GO:0003867	1	1	4-aminobutyrate transaminase activity	0.245459704881	0.270747849107	30220
GO:1990081	1	1	trimethylamine receptor activity	0.245459704881	0.270747849107	30220
GO:0044537	1	1	regulation of circulating fibrinogen levels	0.245459704881	0.270747849107	30220
GO:0005109	35	32	frizzled binding	0.157594936709	0.273628938156	8570
GO:0040014	25	32	regulation of multicellular organism growth	0.392262487757	0.273628938156	8570
GO:0002040	23	32	sprouting angiogenesis	0.4545884579	0.273628938156	8570
GO:0045165	40	32	cell fate commitment	0.0985294117647	0.273628938156	8570
GO:0070979	27	32	protein K11-linked ubiquitination	0.316393442623	0.273628938156	8570
GO:0090102	25	32	cochlea development	0.392262487757	0.273628938156	8570
GO:0071339	30	32	MLL1 complex	0.255172413793	0.273628938156	8570
GO:0030136	57	64	clathrin-coated vesicle	0.288718929254	0.274727668845	4590
GO:0050829	56	64	defense response to Gram-negative bacterium	0.312962962963	0.274727668845	4590
GO:0046520	1	1	sphingoid biosynthetic process	0.247446083995	0.276406353408	30220
GO:0001760	1	1	aminocarboxymuconate-semialdehyde decarboxylase activity	0.248013620885	0.276538716082	30220
GO:1905322	1	1	positive regulation of mesenchymal stem cell migration	0.248013620885	0.276538716082	30220
GO:0006173	1	1	dADP biosynthetic process	0.248581157775	0.277167438782	30220
GO:0071654	1	1	positive regulation of chemokine (C-C motif) ligand 1 production	0.249243284147	0.277763070814	30220
GO:0033214	1	1	iron assimilation by chelation and transport	0.249243284147	0.277763070814	30220
GO:0044508	1	1	glucagon-like peptide 1 receptor activity	0.249243284147	0.277763070814	30220
GO:0047865	1	1	dimethylglycine dehydrogenase activity	0.250094589482	0.278855062872	30220
GO:0004760	1	1	serine-pyruvate transaminase activity	0.250094589482	0.278855062872	30220
GO:0002113	1	1	interleukin-33 binding	0.250094589482	0.278855062872	30220
GO:0005309	1	1	creatine:sodium symporter activity	0.25056753689	0.280013236267	30220
GO:0009692	1	1	ethylene metabolic process	0.25113507378	0.280079417604	30220
GO:0001162	8	8	RNA polymerase II intronic transcription regulatory region sequence-specific DNA binding	0.244431185362	0.280297547246	24870
GO:0043142	10	8	single-stranded DNA-dependent ATPase activity	0.114476386037	0.280297547246	24870
GO:0006627	6	8	protein processing involved in protein targeting to mitochondrion	0.382352941176	0.280297547246	24870
GO:0031681	9	8	G-protein beta-subunit binding	0.176869158879	0.280297547246	24870
GO:0016705	10	8	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	0.114476386037	0.280297547246	24870
GO:0016274	9	8	protein-arginine N-methyltransferase activity	0.176869158879	0.280297547246	24870
GO:0008526	8	8	phosphatidylinositol transporter activity	0.244431185362	0.280297547246	24870
GO:0010793	6	8	regulation of mRNA export from nucleus	0.382352941176	0.280297547246	24870
GO:0032308	7	8	positive regulation of prostaglandin secretion	0.352591792657	0.280297547246	24870
GO:0044281	8	8	small molecule metabolic process	0.244431185362	0.280297547246	24870
GO:0004303	10	8	estradiol 17-beta-dehydrogenase activity	0.114476386037	0.280297547246	24870
GO:0008091	8	8	spectrin	0.244431185362	0.280297547246	24870
GO:0045475	8	8	locomotor rhythm	0.244431185362	0.280297547246	24870
GO:0043203	7	8	axon hillock	0.352591792657	0.280297547246	24870
GO:0090166	6	8	Golgi disassembly	0.382352941176	0.280297547246	24870
GO:1900223	6	8	positive regulation of amyloid-beta clearance	0.382352941176	0.280297547246	24870
GO:0042058	8	8	regulation of epidermal growth factor receptor signaling pathway	0.244431185362	0.280297547246	24870
GO:0071467	8	8	cellular response to pH	0.244431185362	0.280297547246	24870
GO:0032050	6	8	clathrin heavy chain binding	0.382352941176	0.280297547246	24870
GO:0001164	8	8	RNA polymerase I CORE element sequence-specific DNA binding	0.244431185362	0.280297547246	24870
GO:0014824	7	8	artery smooth muscle contraction	0.352591792657	0.280297547246	24870
GO:1902259	7	8	regulation of delayed rectifier potassium channel activity	0.352591792657	0.280297547246	24870
GO:0017162	9	8	aryl hydrocarbon receptor binding	0.176869158879	0.280297547246	24870
GO:0070200	6	8	establishment of protein localization to telomere	0.382352941176	0.280297547246	24870
GO:0090160	7	8	Golgi to lysosome transport	0.352591792657	0.280297547246	24870
GO:0006734	7	8	NADH metabolic process	0.352591792657	0.280297547246	24870
GO:0061002	6	8	negative regulation of dendritic spine morphogenesis	0.382352941176	0.280297547246	24870
GO:0003689	8	8	DNA clamp loader activity	0.244431185362	0.280297547246	24870
GO:0046512	8	8	sphingosine biosynthetic process	0.244431185362	0.280297547246	24870
GO:0070129	6	8	regulation of mitochondrial translation	0.382352941176	0.280297547246	24870
GO:0015174	7	8	basic amino acid transmembrane transporter activity	0.352591792657	0.280297547246	24870
GO:0019388	8	8	galactose catabolic process	0.244431185362	0.280297547246	24870
GO:0030299	8	8	intestinal cholesterol absorption	0.244431185362	0.280297547246	24870
GO:0030296	7	8	protein tyrosine kinase activator activity	0.352591792657	0.280297547246	24870
GO:0006508	464	512	proteolysis	0.813725490196	0.280555555556	360
GO:0016567	413	512	protein ubiquitination	0.868421052632	0.280555555556	360
GO:0043234	519	512	protein complex	0.691176470588	0.280555555556	360
GO:0005575	409	512	cellular_component	0.866071428571	0.280555555556	360
GO:0000922	110	128	spindle pole	0.464285714286	0.280582524272	2060
GO:0051091	101	128	positive regulation of DNA binding transcription factor activity	0.567415730337	0.280582524272	2060
GO:0004861	12	16	cyclin-dependent protein serine/threonine kinase inhibitor activity	0.431944444444	0.280972515856	14190
GO:0043194	12	16	axon initial segment	0.431944444444	0.280972515856	14190
GO:0016254	17	16	preassembly of GPI anchor in ER membrane	0.17542503864	0.280972515856	14190
GO:0010369	12	16	chromocenter	0.431944444444	0.280972515856	14190
GO:0031076	13	16	embryonic camera-type eye development	0.35119760479	0.280972515856	14190
GO:0034656	15	16	nucleobase-containing small molecule catabolic process	0.286724031961	0.280972515856	14190
GO:0015297	17	16	antiporter activity	0.17542503864	0.280972515856	14190
GO:0014911	18	16	positive regulation of smooth muscle cell migration	0.167280766396	0.280972515856	14190
GO:0019226	15	16	transmission of nerve impulse	0.286724031961	0.280972515856	14190
GO:0097602	17	16	cullin family protein binding	0.17542503864	0.280972515856	14190
GO:0097502	12	16	mannosylation	0.431944444444	0.280972515856	14190
GO:0005773	13	16	vacuole	0.35119760479	0.280972515856	14190
GO:0034968	14	16	histone lysine methylation	0.340238365494	0.280972515856	14190
GO:0007130	18	16	synaptonemal complex assembly	0.167280766396	0.280972515856	14190
GO:0050908	13	16	detection of light stimulus involved in visual perception	0.35119760479	0.280972515856	14190
GO:0042033	1	1	chemokine biosynthetic process	0.251797200151	0.281270681668	30220
GO:0016938	1	1	kinesin I complex	0.252648505486	0.281667769689	30220
GO:0031798	1	1	type 1 metabotropic glutamate receptor binding	0.252648505486	0.281667769689	30220
GO:1905523	1	1	positive regulation of macrophage migration	0.253310631858	0.281700860357	30220
GO:0005366	1	1	myo-inositol:proton symporter activity	0.253499810821	0.281800132363	30220
GO:0060631	1	1	regulation of meiosis I	0.253972758229	0.281899404368	30220
GO:0008052	1	1	sensory organ boundary specification	0.253972758229	0.281899404368	30220
GO:0097232	1	1	lamellar body membrane	0.253972758229	0.281899404368	30220
GO:1903900	1	1	regulation of viral life cycle	0.254445705638	0.282461945731	30220
GO:0043383	1	1	negative T cell selection	0.254634884601	0.282528127068	30220
GO:0008295	3	4	spermidine biosynthetic process	0.299110320285	0.283548664944	34830
GO:0031545	5	4	peptidyl-proline 4-dioxygenase activity	0.15176879343	0.283548664944	34830
GO:0044376	3	4	RNA polymerase II complex import to nucleus	0.299110320285	0.283548664944	34830
GO:0014802	3	4	terminal cisterna	0.299110320285	0.283548664944	34830
GO:0002534	3	4	cytokine production involved in inflammatory response	0.299110320285	0.283548664944	34830
GO:0045619	3	4	regulation of lymphocyte differentiation	0.299110320285	0.283548664944	34830
GO:1902175	4	4	regulation of oxidative stress-induced intrinsic apoptotic signaling pathway	0.267749036874	0.283548664944	34830
GO:0020018	3	4	ciliary pocket membrane	0.299110320285	0.283548664944	34830
GO:0036514	3	4	dopaminergic neuron axon guidance	0.299110320285	0.283548664944	34830
GO:0015917	4	4	aminophospholipid transport	0.267749036874	0.283548664944	34830
GO:0048014	3	4	Tie signaling pathway	0.299110320285	0.283548664944	34830
GO:0035461	4	4	vitamin transmembrane transport	0.267749036874	0.283548664944	34830
GO:1903208	3	4	negative regulation of hydrogen peroxide-induced neuron death	0.299110320285	0.283548664944	34830
GO:0061689	4	4	tricellular tight junction	0.267749036874	0.283548664944	34830
GO:0045639	4	4	positive regulation of myeloid cell differentiation	0.267749036874	0.283548664944	34830
GO:0046486	5	4	glycerolipid metabolic process	0.15176879343	0.283548664944	34830
GO:1901097	3	4	negative regulation of autophagosome maturation	0.299110320285	0.283548664944	34830
GO:0048733	5	4	sebaceous gland development	0.15176879343	0.283548664944	34830
GO:0046604	5	4	positive regulation of mitotic centrosome separation	0.15176879343	0.283548664944	34830
GO:0017136	4	4	NAD-dependent histone deacetylase activity	0.267749036874	0.283548664944	34830
GO:0061484	4	4	hematopoietic stem cell homeostasis	0.267749036874	0.283548664944	34830
GO:0002357	3	4	defense response to tumor cell	0.299110320285	0.283548664944	34830
GO:0008853	4	4	exodeoxyribonuclease III activity	0.267749036874	0.283548664944	34830
GO:0097485	4	4	neuron projection guidance	0.267749036874	0.283548664944	34830
GO:0010513	4	4	positive regulation of phosphatidylinositol biosynthetic process	0.267749036874	0.283548664944	34830
GO:0000404	3	4	heteroduplex DNA loop binding	0.299110320285	0.283548664944	34830
GO:1901843	3	4	positive regulation of high voltage-gated calcium channel activity	0.299110320285	0.283548664944	34830
GO:0098967	4	4	exocytic insertion of neurotransmitter receptor to postsynaptic membrane	0.267749036874	0.283548664944	34830
GO:0031937	3	4	positive regulation of chromatin silencing	0.299110320285	0.283548664944	34830
GO:0035630	5	4	bone mineralization involved in bone maturation	0.15176879343	0.283548664944	34830
GO:1990168	3	4	protein K33-linked deubiquitination	0.299110320285	0.283548664944	34830
GO:0060399	3	4	positive regulation of growth hormone receptor signaling pathway	0.299110320285	0.283548664944	34830
GO:0015501	3	4	glutamate:sodium symporter activity	0.299110320285	0.283548664944	34830
GO:0030125	4	4	clathrin vesicle coat	0.267749036874	0.283548664944	34830
GO:0060005	3	4	vestibular reflex	0.299110320285	0.283548664944	34830
GO:0090135	3	4	actin filament branching	0.299110320285	0.283548664944	34830
GO:2001274	3	4	negative regulation of glucose import in response to insulin stimulus	0.299110320285	0.283548664944	34830
GO:0086056	3	4	voltage-gated calcium channel activity involved in AV node cell action potential	0.299110320285	0.283548664944	34830
GO:0060761	5	4	negative regulation of response to cytokine stimulus	0.15176879343	0.283548664944	34830
GO:1905598	3	4	negative regulation of low-density lipoprotein receptor activity	0.299110320285	0.283548664944	34830
GO:0031281	3	4	positive regulation of cyclase activity	0.299110320285	0.283548664944	34830
GO:0021631	5	4	optic nerve morphogenesis	0.15176879343	0.283548664944	34830
GO:0003876	3	4	AMP deaminase activity	0.299110320285	0.283548664944	34830
GO:0015705	4	4	iodide transport	0.260319207485	0.283548664944	34830
GO:0015651	5	4	quaternary ammonium group transmembrane transporter activity	0.15176879343	0.283548664944	34830
GO:1904047	4	4	S-adenosyl-L-methionine binding	0.267749036874	0.283548664944	34830
GO:0021797	3	4	forebrain anterior/posterior pattern specification	0.299110320285	0.283548664944	34830
GO:0044528	4	4	regulation of mitochondrial mRNA stability	0.267749036874	0.283548664944	34830
GO:0004829	3	4	threonine-tRNA ligase activity	0.299110320285	0.283548664944	34830
GO:0060312	3	4	regulation of blood vessel remodeling	0.299110320285	0.283548664944	34830
GO:1903772	3	4	regulation of viral budding via host ESCRT complex	0.299110320285	0.283548664944	34830
GO:1904025	1	1	positive regulation of glucose catabolic process to lactate via pyruvate	0.256715853197	0.283917935142	30220
GO:0021588	1	1	cerebellum formation	0.256715853197	0.283917935142	30220
GO:0098782	1	1	mechanosensitived potassium channel activity	0.256715853197	0.283917935142	30220
GO:0001080	1	1	nitrogen catabolite activation of transcription from RNA polymerase II promoter	0.256715853197	0.283917935142	30220
GO:0043012	1	1	regulation of fusion of sperm to egg plasma membrane	0.256715853197	0.283917935142	30220
GO:0031771	1	1	type 1 hypocretin receptor binding	0.256715853197	0.283917935142	30220
GO:1903118	1	1	urate homeostasis	0.256715853197	0.283917935142	30220
GO:0048621	1	1	post-embryonic digestive tract morphogenesis	0.256715853197	0.283917935142	30220
GO:0045939	1	1	negative regulation of steroid metabolic process	0.256715853197	0.283917935142	30220
GO:0070247	1	1	regulation of natural killer cell apoptotic process	0.256715853197	0.283917935142	30220
GO:0005769	227	256	early endosome	0.611111111111	0.284782608696	920
GO:0005765	283	256	lysosomal membrane	0.253333333333	0.284782608696	920
GO:0045121	206	256	membrane raft	0.743697478992	0.284782608696	920
GO:0006813	70	64	potassium ion transport	0.176334106729	0.284967320261	4590
GO:0090575	47	64	RNA polymerase II transcription factor complex	0.506525285481	0.284967320261	4590
GO:0098793	50	64	presynapse	0.445017182131	0.284967320261	4590
GO:0004386	53	64	helicase activity	0.377495462795	0.284967320261	4590
GO:0030593	53	64	neutrophil chemotaxis	0.377495462795	0.284967320261	4590
GO:0042102	56	64	positive regulation of T cell proliferation	0.327777777778	0.284967320261	4590
GO:0097546	27	32	ciliary base	0.327868852459	0.285880980163	8570
GO:0060048	39	32	cardiac muscle contraction	0.105673758865	0.285880980163	8570
GO:0006298	32	32	mismatch repair	0.225787631272	0.285880980163	8570
GO:0007029	24	32	endoplasmic reticulum organization	0.462569316081	0.285880980163	8570
GO:0061621	23	32	canonical glycolysis	0.466887417219	0.285880980163	8570
GO:0042254	26	32	ribosome biogenesis	0.371473354232	0.285880980163	8570
GO:0043198	35	32	dendritic shaft	0.165189873418	0.285880980163	8570
GO:0006513	30	32	protein monoubiquitination	0.264942528736	0.285880980163	8570
GO:0047787	2	2	delta4-3-oxosteroid 5beta-reductase activity	0.281342182891	0.286884567646	24170
GO:0043512	2	2	inhibin A complex	0.280973451327	0.286884567646	24170
GO:0046226	2	2	coumarin catabolic process	0.281710914454	0.28705006206	24170
GO:0050904	2	2	diapedesis	0.290007374631	0.287132809268	24170
GO:0010273	2	2	detoxification of copper ion	0.290007374631	0.287132809268	24170
GO:0097252	2	2	oligodendrocyte apoptotic process	0.290007374631	0.287132809268	24170
GO:0000390	2	2	spliceosomal complex disassembly	0.290007374631	0.287132809268	24170
GO:0048232	2	2	male gamete generation	0.290007374631	0.287132809268	24170
GO:0090187	2	2	positive regulation of pancreatic juice secretion	0.290007374631	0.287132809268	24170
GO:1904783	2	2	positive regulation of NMDA glutamate receptor activity	0.290007374631	0.287132809268	24170
GO:0004821	2	2	histidine-tRNA ligase activity	0.290007374631	0.287132809268	24170
GO:0005427	2	2	proton-dependent oligopeptide secondary active transmembrane transporter activity	0.290007374631	0.287132809268	24170
GO:1901026	2	2	ripoptosome assembly involved in necroptotic process	0.290007374631	0.287132809268	24170
GO:0038064	2	2	collagen receptor activity	0.290007374631	0.287132809268	24170
GO:0071819	2	2	DUBm complex	0.290007374631	0.287132809268	24170
GO:2000309	2	2	positive regulation of tumor necrosis factor (ligand) superfamily member 11 production	0.290007374631	0.287132809268	24170
GO:1990269	2	2	RNA polymerase II C-terminal domain phosphoserine binding	0.290007374631	0.287132809268	24170
GO:0001300	2	2	chronological cell aging	0.290007374631	0.287132809268	24170
GO:1905333	2	2	regulation of gastric motility	0.290007374631	0.287132809268	24170
GO:0017076	2	2	purine nucleotide binding	0.290007374631	0.287132809268	24170
GO:0019941	2	2	modification-dependent protein catabolic process	0.290007374631	0.287132809268	24170
GO:0032185	2	2	septin cytoskeleton organization	0.290007374631	0.287132809268	24170
GO:0036313	2	2	phosphatidylinositol 3-kinase catalytic subunit binding	0.290007374631	0.287132809268	24170
GO:0031393	2	2	negative regulation of prostaglandin biosynthetic process	0.290007374631	0.287132809268	24170
GO:1903352	2	2	L-ornithine transmembrane transport	0.290007374631	0.287132809268	24170
GO:0021570	2	2	rhombomere 4 development	0.290007374631	0.287132809268	24170
GO:0061010	2	2	gall bladder development	0.290007374631	0.287132809268	24170
GO:0044818	2	2	mitotic G2/M transition checkpoint	0.290007374631	0.287132809268	24170
GO:0044154	2	2	histone H3-K14 acetylation	0.290007374631	0.287132809268	24170
GO:0005457	2	2	GDP-fucose transmembrane transporter activity	0.290007374631	0.287132809268	24170
GO:0046922	2	2	peptide-O-fucosyltransferase activity	0.290007374631	0.287132809268	24170
GO:0050794	2	2	regulation of cellular process	0.290007374631	0.287132809268	24170
GO:0140009	2	2	L-aspartate import across plasma membrane	0.290007374631	0.287132809268	24170
GO:0032943	2	2	mononuclear cell proliferation	0.290007374631	0.287132809268	24170
GO:0060713	2	2	labyrinthine layer morphogenesis	0.290007374631	0.287132809268	24170
GO:2000363	2	2	positive regulation of prostaglandin-E synthase activity	0.290007374631	0.287132809268	24170
GO:1904881	2	2	cellular response to hydrogen sulfide	0.290007374631	0.287132809268	24170
GO:0033306	2	2	phytol metabolic process	0.290007374631	0.287132809268	24170
GO:0032915	2	2	positive regulation of transforming growth factor beta2 production	0.290007374631	0.287132809268	24170
GO:1904613	2	2	cellular response to 2,3,7,8-tetrachlorodibenzodioxine	0.290007374631	0.287132809268	24170
GO:0005290	2	2	L-histidine transmembrane transporter activity	0.290007374631	0.287132809268	24170
GO:0045066	2	2	regulatory T cell differentiation	0.290007374631	0.287132809268	24170
GO:0016803	1	1	ether hydrolase activity	0.258986000757	0.288385175381	30220
GO:0034508	1	1	centromere complex assembly	0.259364358683	0.289013898081	30220
GO:1902362	1	1	melanocyte apoptotic process	0.259648127128	0.289179351423	30220
GO:0044557	1	1	relaxation of smooth muscle	0.260026485055	0.289576439444	30220
GO:0070091	1	1	glucagon secretion	0.2603102535	0.290569159497	30220
GO:0002778	1	1	antibacterial peptide production	0.261161558835	0.290800794176	30220
GO:0046668	1	1	regulation of retinal cell programmed cell death	0.261161558835	0.290800794176	30220
GO:0010021	1	1	amylopectin biosynthetic process	0.261161558835	0.290800794176	30220
GO:1904425	1	1	negative regulation of GTP binding	0.261161558835	0.290800794176	30220
GO:0009593	1	1	detection of chemical stimulus	0.261161558835	0.290800794176	30220
GO:0016964	1	1	alpha-2 macroglobulin receptor activity	0.261161558835	0.290800794176	30220
GO:0031901	134	128	early endosome membrane	0.262886597938	0.291262135922	2060
GO:0030168	106	128	platelet activation	0.52734375	0.291262135922	2060
GO:0018105	145	128	peptidyl-serine phosphorylation	0.208791208791	0.291262135922	2060
GO:0034752	1	1	cytosolic aryl hydrocarbon receptor complex	0.26201286417	0.291628060887	30220
GO:1900142	1	1	negative regulation of oligodendrocyte apoptotic process	0.262296632614	0.291892786234	30220
GO:0042339	1	1	keratan sulfate metabolic process	0.262674990541	0.293050959629	30220
GO:0060838	1	1	lymphatic endothelial cell fate commitment	0.263242527431	0.293414956982	30220
GO:0044212	206	256	transcription regulatory region DNA binding	0.764705882353	0.29347826087	920
GO:0005605	15	16	basal lamina	0.298094652735	0.293798449612	14190
GO:0043249	12	16	erythrocyte maturation	0.443888888889	0.293798449612	14190
GO:0097228	18	16	sperm principal piece	0.174649963154	0.293798449612	14190
GO:0036038	13	16	MKS complex	0.363473053892	0.293798449612	14190
GO:0006693	13	16	prostaglandin metabolic process	0.363473053892	0.293798449612	14190
GO:0004467	13	16	long-chain fatty acid-CoA ligase activity	0.363473053892	0.293798449612	14190
GO:1904659	19	16	glucose transmembrane transport	0.142857142857	0.293798449612	14190
GO:0071564	12	16	npBAF complex	0.443888888889	0.293798449612	14190
GO:0005859	22	16	muscle myosin complex	0.0853765323993	0.293798449612	14190
GO:0043101	13	16	purine-containing compound salvage	0.363473053892	0.293798449612	14190
GO:0000815	12	16	ESCRT III complex	0.443888888889	0.293798449612	14190
GO:0048037	17	16	cofactor binding	0.18315301391	0.293798449612	14190
GO:0010745	12	16	negative regulation of macrophage derived foam cell differentiation	0.443888888889	0.293798449612	14190
GO:0000460	12	16	maturation of 5.8S rRNA	0.443888888889	0.293798449612	14190
GO:0001899	1	1	negative regulation of cytolysis by symbiont of host cells	0.263810064321	0.29387822634	30220
GO:0071415	1	1	cellular response to purine-containing compound	0.264093832766	0.294407677035	30220
GO:0006797	1	1	polyphosphate metabolic process	0.264566780174	0.294771674388	30220
GO:0060732	6	8	positive regulation of inositol phosphate biosynthetic process	0.402029826015	0.295577000402	24870
GO:0072205	7	8	metanephric collecting duct development	0.370770338373	0.295577000402	24870
GO:0047035	6	8	testosterone dehydrogenase (NAD+) activity	0.402029826015	0.295577000402	24870
GO:0009404	6	8	toxin metabolic process	0.402029826015	0.295577000402	24870
GO:0031232	7	8	extrinsic component of external side of plasma membrane	0.370770338373	0.295577000402	24870
GO:0010886	7	8	positive regulation of cholesterol storage	0.370770338373	0.295577000402	24870
GO:0016805	11	8	dipeptidase activity	0.116113744076	0.295577000402	24870
GO:0006271	8	8	DNA strand elongation involved in DNA replication	0.257955449483	0.295577000402	24870
GO:0090129	7	8	positive regulation of synapse maturation	0.370770338373	0.295577000402	24870
GO:0071340	9	8	skeletal muscle acetylcholine-gated channel clustering	0.189018691589	0.295577000402	24870
GO:0009247	8	8	glycolipid biosynthetic process	0.257955449483	0.295577000402	24870
GO:0005677	8	8	chromatin silencing complex	0.257955449483	0.295577000402	24870
GO:0006384	6	8	transcription initiation from RNA polymerase III promoter	0.402029826015	0.295577000402	24870
GO:0090037	7	8	positive regulation of protein kinase C signaling	0.370770338373	0.295577000402	24870
GO:0032052	6	8	bile acid binding	0.402029826015	0.295577000402	24870
GO:0032835	8	8	glomerulus development	0.257955449483	0.295577000402	24870
GO:0072669	7	8	tRNA-splicing ligase complex	0.370770338373	0.295577000402	24870
GO:0019896	8	8	axonal transport of mitochondrion	0.257955449483	0.295577000402	24870
GO:1902459	6	8	positive regulation of stem cell population maintenance	0.402029826015	0.295577000402	24870
GO:0050667	6	8	homocysteine metabolic process	0.402029826015	0.295577000402	24870
GO:0071875	6	8	adrenergic receptor signaling pathway	0.402029826015	0.295577000402	24870
GO:0006686	6	8	sphingomyelin biosynthetic process	0.402029826015	0.295577000402	24870
GO:0010459	7	8	negative regulation of heart rate	0.370770338373	0.295577000402	24870
GO:0006101	6	8	citrate metabolic process	0.402029826015	0.295577000402	24870
GO:0016576	6	8	histone dephosphorylation	0.402029826015	0.295577000402	24870
GO:0061626	7	8	pharyngeal arch artery morphogenesis	0.370770338373	0.295577000402	24870
GO:0032509	7	8	endosome transport via multivesicular body sorting pathway	0.370770338373	0.295577000402	24870
GO:0003360	7	8	brainstem development	0.370770338373	0.295577000402	24870
GO:0015886	9	8	heme transport	0.189018691589	0.295577000402	24870
GO:0086014	8	8	atrial cardiac muscle cell action potential	0.257955449483	0.295577000402	24870
GO:0044597	8	8	daunorubicin metabolic process	0.257955449483	0.295577000402	24870
GO:0004536	9	8	deoxyribonuclease activity	0.189018691589	0.295577000402	24870
GO:0045761	1	1	regulation of adenylate cyclase activity	0.267120696179	0.296095301125	30220
GO:0032814	1	1	regulation of natural killer cell activation	0.267120696179	0.296095301125	30220
GO:0060300	1	1	regulation of cytokine activity	0.267120696179	0.296095301125	30220
GO:0016999	1	1	antibiotic metabolic process	0.267120696179	0.296095301125	30220
GO:0002443	1	1	leukocyte mediated immunity	0.267120696179	0.296095301125	30220
GO:0033871	1	1	[heparan sulfate]-glucosamine 3-sulfotransferase 2 activity	0.267120696179	0.296095301125	30220
GO:0001912	1	1	positive regulation of leukocyte mediated cytotoxicity	0.267120696179	0.296095301125	30220
GO:0017090	1	1	meprin A complex	0.267120696179	0.296095301125	30220
GO:0002395	1	1	immune response in nasopharyngeal-associated lymphoid tissue	0.267120696179	0.296095301125	30220
GO:0015149	1	1	hexose transmembrane transporter activity	0.267120696179	0.296095301125	30220
GO:0072227	1	1	metanephric macula densa development	0.267120696179	0.296095301125	30220
GO:0047962	1	1	glycine N-benzoyltransferase activity	0.267120696179	0.296095301125	30220
GO:2000351	1	1	regulation of endothelial cell apoptotic process	0.267120696179	0.296095301125	30220
GO:0015293	37	32	symporter activity	0.129189944134	0.296266044341	8570
