Synonym	Primary symbols	Ambiguity
C1orf82	RPAP2	0
C1orf83	TCEANC2	0
C1orf84	SZT2	0
C1orf85	GLMP	0
C1orf86	FAAP20	0
C1orf88	PIFO	0
C1orf89	RSG1	0
C1orf9	SUCO	0
C1orf91	TMEM234	0
C1orf93	FAM213B	0
C1orf95	STUM	0
C1orf96	CCSAP	0
C1orf98	LINC00862	0
C20orf1	TPX2	0
C20orf10	TP53TG5	0
C20orf100	TOX2	0
C20orf101	PHACTR3	0
C20orf102	VSTM2L	0
C20orf103	LAMP5	0
C20orf104	PHF20	0
C20orf105	GCNT7	0
C20orf106	FAM209A	0
C20orf107	FAM209B	0
C20orf108	FAM210B	0
C20orf11	GID8	0
C20orf110	TP53INP2	0
C20orf112	NOL4L	0
C20orf113	NOL4L	0
C20orf114	BPIFB1	0
C20orf116	DDRGK1	0
C20orf117	SOGA1	0
C20orf119	PABPC1L	0
C20orf12	DZANK1	0
C20orf121	TTPAL	0
C20orf122	WFDC12	0
C20orf123	OCSTAMP	0
C20orf124	FER1L4	0
C20orf125	TTLL9	0
C20orf126	PDRG1	0
C20orf128	FAM83C	0
C20orf129	FAM83D	0
C20orf13	TASP1	0
C20orf130	EMILIN3	0
C20orf133	MACROD2	0
C20orf135	ABHD16B	0
C20orf137	SPINT4	0
C20orf138	WFDC13	0
C20orf139	SRXN1	0
C20orf14	PRPF6	0
C20orf140	TBC1D20	0
C20orf142	FITM2	0
C20orf143	DPH3P1	0
C20orf145	TMC2	0
C20orf146	WFDC10A	0
C20orf147	NANP	0
C20orf148	SRMS	0
C20orf149	PPDPF	0
C20orf15	DHX35	0
C20orf150	CABLES2	0
C20orf151	RBBP8NL	0
C20orf152	CNBD2	0
C20orf153	ADAM33	0
C20orf154	MCM8	0
C20orf155	CRLS1	0
C20orf156	SLA2	0
C20orf157	ZNF840P	0
C20orf158	DIDO1	0
C20orf159	XKR7	0
C20orf16	SMOX	0
C20orf160	CCM2L	0
C20orf161	SNX21	0
C20orf162	ZSWIM1	0
C20orf163	NEURL2	0
C20orf164	ZSWIM3	0
C20orf165	SPATA25	0
C20orf167	DNTTIP1	0
C20orf169	SYS1	0
C20orf17	TSHZ2	0
C20orf170	WFDC8	0
C20orf171	WFDC6	0
C20orf172	DSN1	0
C20orf174	ZNF831	0
C20orf177	FAM217B	0
C20orf178	CHMP4B	0
C20orf179	BANF2	0
C20orf18	RBCK1	0
C20orf180	DOK5	0
C20orf182	RSPO4	0
C20orf183	ZBP1	0
C20orf184	BPIFB2	0
C20orf185	BPIFB3	0
C20orf186	BPIFB4	0
C20orf188	TRPC4AP	0
C20orf19	KIZ	0
C20orf190	RIMS4	0
C20orf191	NCOR1P1	0
C20orf192	PPP4R1L	0
C20orf193	MRPS26	0
C20orf195	FNDC11	0
C20orf2	TPX2	0
C20orf20	MRGBP	0
C20orf21	YTHDF1	0
C20orf22	ABHD12	0
C20orf23	KIF16B	0
C20orf25	CDH22	0
C20orf26	CFAP61	0
C20orf28	SPEF1	0
C20orf29	AP5S1	0
C20orf3	APMAP	0
C20orf30	TMEM230	0
C20orf31	EDEM2	0
C20orf32	CASS4	0
C20orf33	CTNNBL1	0
C20orf34	CDK5RAP1	0
C20orf35	DBNDD2	0
C20orf36	PCMTD2	0
C20orf37	ITPA	0
C20orf38	SPTLC3	0
C20orf39	SYNDIG1	0
C20orf4	AAR2	0
C20orf40	LSM14B	0
C20orf41	RTEL1	0
C20orf42	FERMT1	0
C20orf43	RTFDC1	0
C20orf44	UQCC1	0
C20orf45	PRELID3B	0
C20orf46	TMEM74B	0
C20orf47	ERGIC3	0
C20orf48	PANK2	0
C20orf49	EDEM2	0
C20orf5	SLC35C2	0
C20orf50	SEL1L2	0
C20orf52	ROMO1	0
C20orf54	SLC52A3	0
C20orf55	FAM110A	0
C20orf57	DUSP15	0
C20orf58	NKAIN4	0
C20orf59	SLC17A9	0
C20orf6	ESF1	0
C20orf60	HSPA12B	0
C20orf63	DEFB118	0
C20orf64	TP53RK	0
C20orf65	GTSF1L	0
C20orf67	PCIF1	0
C20orf7	NDUFAF5	0
C20orf70	BPIFA2	0
C20orf71	BPIFA3	0
C20orf72	MGME1	0
C20orf73	DEFB127	0
C20orf74	RALGAPA2	0
C20orf75	LRRN4	0
C20orf77	RPRD1B	0
C20orf79	SCP2D1	0
C20orf8	DEFB126	0
C20orf81	PCED1A	0
C20orf82	ISM1	0
C20orf84	DZANK1	0
C20orf87	DEFB129	0
C20orf88	DTD1	0
C20orf9	IFT52	0
C20orf92	COMMD7	0
C20orf94	SLX4IP	0
C20orf95	ARHGAP40	0
C20orf97	TRIB3	0
C20orf98	NRSN2	0
C20orf99	ZCCHC3	0
C21LRP	PSMG1	0
C21orf1	PTTG1IP	0
C21orf10	LTN1	0
C21orf101	MRPS6	0
C21orf102	LRRC3	0
C21orf103	KRTAP6-1	0
C21orf105	ERVH48-1	0
C21orf106	DIP2A	0
C21orf107	BRWD1	0
C21orf108	URB1	0
C21orf11	FAM3B	0
C21orf112	CCT8	0
C21orf119	URB1-AS1	0
C21orf120	C21orf62	0
C21orf124	PDXK	0
C21orf127	N6AMT1	0
C21orf13	LCA5L	0
C21orf14	EURL	0
C21orf18	SETD4	0
C21orf25	C2CD2	0
C21orf258	C2CD2	0
C21orf27	SETD4	0
C21orf29	TSPEAR	0
C21orf3	PTTG1IP	0
C21orf38	EURL	0
C21orf4	TMEM50B	0
C21orf43	JAM2	0
C21orf45	MIS18A	0
C21orf46	MIS18A	0
C21orf48	C21orf59	0
C21orf5	DOPEY2	0
C21orf50	SON	0
C21orf51	SMIM11A	0
C21orf55	DNAJC28	0
C21orf56	SPATC1L	0
C21orf57	YBEY	0
C21orf6	RWDD2B	0
C21orf60	DONSON	0
C21orf61	MRAP	0
C21orf63	EVA1C	0
C21orf64	EVA1C	0
C21orf65	DSCR8	0
C21orf66	PAXBP1	0
C21orf67	LINC01547	0
C21orf68	CHODL	0
C21orf69	LINC01547	0
C21orf7	MAP3K7CL	0
C21orf70	FAM207A	0
C21orf73	ABCC13	0
C21orf76	FAM3B	0
C21orf78	DNAJC28	0
C21orf80	POFUT2	0
C21orf83	PRDM15	0
C21orf91	EURL	0
C21orf92	MRPL39	0
C21orf95	CYYR1	0
C21orf97	PDXK	0
C21orf98	LTN1	0
C22orf1	MPPED1	0
C22orf11	RIBC2	0
C22orf12	DGCR8	0
C22orf13	GUCD1	0
C22orf14	DERL3	0
C22orf16	CHCHD10	0
C22orf17	SHISA8	0
C22orf18	CENPM	0
C22orf19	THOC5	0
C22orf2	CBY1	0
C22orf20	PNPLA3	0
C22orf25	TANGO2	0
C22orf28	RTCB	0
C22orf29	RTL10	0
C22orf3	RHBDD3	0
C22orf32	SMDT1	0
C22orf4	TBC1D22A	0
C22orf40	CDPF1	0
C22orf41	SYCE3	0
C22orf43	DRICH1	0
C22orf5	TMEM184B	0
C22orf6	SEC14L2	0
C22orf7	TTLL1	0
C22orf8	FAM118A	0
C27C1_HUMAN	CYP27C1	0
C295L_HUMAN	CEP295NL	0
C2AIL_HUMAN	CDKN2AIPNL	0
C2C2L_HUMAN	C2CD2L	0
C2C4A_HUMAN	C2CD4A	0
C2C4B_HUMAN	C2CD4B	0
C2C4C_HUMAN	C2CD4C	0
C2CD2_HUMAN	C2CD2	0
C2CD3_HUMAN	C2CD3	0
C2CD5_HUMAN	C2CD5	0
C2CD6_HUMAN	C2CD6	0
C2D1A_HUMAN	CC2D1A	0
C2D1B_HUMAN	CC2D1B	0
C2D2A_HUMAN	CC2D2A	0
C2D4D_HUMAN	C2CD4D	0
C2F	EMG1	0
C2G1P_HUMAN	CYP2G1P	0
C2TA_HUMAN	CIITA	0
C2orf1	MRPL33	0
C2orf10	ZNF804A	0
C2orf11	RFTN2	0
C2orf12	RBMS1	0
C2orf13	APLF	0
C2orf17	RETREG2	0
C2orf18	SLC35F6	0
C2orf2	EML4	0
C2orf20	KIF1A	0
C2orf21	UNC80	0
C2orf22	PQLC3	0
C2orf23	REEP1	0
C2orf24	CNPPD1	0
C2orf25	MMADHC	0
C2orf28	ATRAID	0
C2orf29	CNOT11	0
C2orf3	GCFC2	0
C2orf30	ERLEC1	0
C2orf31	FZD5	0
C2orf32	CNRIP1	0
C2orf33	MFF	0
C2orf34	CAMKMT	0
C2orf37	DCAF17	0
C2orf38	RBM43	0
C2orf39	DRC1	0
C2orf4	MEMO1	0
C2orf43	LDAH	0
C2orf44	WDCP	0
C2orf47	MAIP1	0
C2orf5	COMMD1	0
C2orf51	TEX37	0
C2orf56	NDUFAF7	0
C2orf57	TEX44	0
C2orf6	MOB1A	0
C2orf60	TYW5	0
C2orf61	STPG4	0
C2orf62	CATIP	0
C2orf63	CLHC1	0
C2orf64	COA5	0
C2orf65	M1AP	0
C2orf67	KANSL1L	0
C2orf7	PRADC1	0
C2orf79	PTRHD1	0
C2orf8	THUMPD2	0
C2orf82	SNORC	0
C2orf85	RTP5	0
C2orf86	WDPCP	0
C2orf89	TRABD2A	0
C2orf9	CHCHD5	0
C3AR_HUMAN	C3AR1	0
C3BR	CR1	0
C3DR	CR2	0
C3IP1	KLHL12	0
C3P1_HUMAN	C3P1	0
C3R1	C3AR1	0
C3orf1	TIMMDC1	0
C3orf10	BRK1	0
C3orf11	TUSC2	0
C3orf13	IL1RAP	0
C3orf15	MAATS1	0
C3orf17	NEPRO	0
C3orf19	CCDC174	0
C3orf21	XXYLT1	0
C3orf23	TCAIM	0
C3orf25	EFCAB12	0
C3orf26	CMSS1	0
C3orf28	FAM162A	0
C3orf29	MTMR14	0
C3orf3	HHATL	0
C3orf31	TAMM41	0
C3orf32	SSUH2	0
C3orf34	CEP19	0
C3orf35	APRG1	0
C3orf37	HMCES	0
C3orf39	POMGNT2	0
C3orf4	CLDND1	0
C3orf40	FAM131A	0
C3orf41	FAM198A	0
C3orf43	SMCO1	0
C3orf45	LSMEM2	0
C3orf48	PP2D1	0
C3orf5	MRPS22	0
C3orf51	ERC2-IT1	0
C3orf52	TTMP	0
C3orf54	FAM212A	0
C3orf57	SPTSSB	0
C3orf59	MB21D2	0
C3orf6	CCDC50	0
C3orf60	NDUFAF3	0
C3orf63	FAM208A	0
C3orf64	EOGT	0
C3orf68	CMC1	0
C3orf7	COL8A1	0
C3orf71	ARIH2OS	0
C3orf72	FOXL2NB	0
C3orf73	EFCC1	0
C3orf75	ELP6	0
C3orf77	TOPAZ1	0
C3orf78	SMIM4	0
C3orf8	CTDSPL	0
C3orf9	POGLUT1	0
C4.4A	LYPD3	0
C40	CNOT11	0
C42S1_HUMAN	CDC42SE1	0
C42S2_HUMAN	CDC42SE2	0
C43BP_HUMAN	COL4A3BP	0
C4BP	C4BPA	0
C4BPA_HUMAN	C4BPA	0
C4BPB_HUMAN	C4BPB	0
C4B_2	C4B	0
C4orf1	SLC30A9	0
C4orf13	SLC10A7	0
C4orf14	NOA1	0
C4orf15	HAUS3	0
C4orf16	AP1AR	0
C4orf18	FAM198B	0
C4orf20	UFSP2	0
C4orf21	ZGRF1	0
C4orf23	TRMT44	0
C4orf24	BBS12	0
C4orf25	DOK7	0
C4orf26	ODAPH	0
C4orf27	HPF1	0
C4orf28	PACRGL	0
C4orf29	ABHD18	0
C4orf30	DCAF16	0
C4orf31	NDNF	0
C4orf32	FAM241A	0
C4orf34	SMIM14	0
C4orf35	CABS1	0
C4orf39	FAM218A	0
C4orf4	CYTL1	0
C4orf40	PRR27	0
C4orf41	TRAPPC11	0
C4orf43	TMA16	0
C4orf49	MGARP	0
C4orf5	MYOZ2	0
C4orf52	SMIM20	0
C4orf53	FAM200B	0
C4orf6	LINC01587	0
C4orf7	FDCSP	0
C4orf9	NOP14	0
C560_HUMAN	SDHC	0
C56D1_HUMAN	CYB561D1	0
C56D2_HUMAN	CYB561D2	0
C5AR	C5AR1	0
C5AR1_HUMAN	C5AR1	0
C5AR2_HUMAN	C5AR2	0
C5L2	C5AR2	0
C5R1	C5AR1	0
C5orf10	CMYA5	0
C5orf11	LIX1	0
C5orf12	SERINC5	0
C5orf13	NREP	0
C5orf14	TXNDC15	0
C5orf15	KCT2	0
C5orf16	RELL2	0
C5orf18	REEP5	0
C5orf19	REEP2	0
C5orf20	DCANP1	0
C5orf21	FAM172A	0
C5orf23	NPR3	0
C5orf25	SIMC1	0
C5orf28	TMEM267	0
C5orf29	GAPT	0
C5orf3	FAM114A2	0
C5orf31	LYRM7	0
C5orf32	CYSTM1	0
C5orf33	NADK2	0
C5orf35	SETD9	0
C5orf37	POC5	0
C5orf39	ANXA2R	0
C5orf4	FAXDC2	0
C5orf40	FNDC9	0
C5orf41	CREBRF	0
C5orf43	SMIM15	0
C5orf44	TRAPPC13	0
C5orf45	MRNIP	0
C5orf5	FAM13B	0
C5orf50	SMIM23	0
C5orf53	IGIP	0
C5orf54	ZBED8	0
C5orf55	EXOC3-AS1	0
C5orf6	FAM53C	0
C5orf62	SMIM3	0
C5orf7	KDM3B	0
C5orf8	LMAN2	0
C6.1A	BRCC3	0
C6.1B	CMC4|MTCP1	1
C6orf1	SMIM29	0
C6orf102	KIF6	0
C6orf103	ADGB	0
C6orf104	TTLL2	0
C6orf105	ADTRP	0
C6orf107	UHRF1BP1	0
C6orf108	DNPH1	0
C6orf109	YIPF3	0
C6orf11	WDR46	0
C6orf110	TMEM63B	0
C6orf111	PNISR	0
C6orf113	ZUFSP	0
C6orf114	GFOD1	0
C6orf116	DACT2	0
C6orf117	MRAP2	0
C6orf122	LINC00242	0
C6orf123	LINC01558	0
C6orf124	AFDN-DT	0
C6orf125	UQCC2	0
C6orf126	CLPSL2	0
C6orf127	CLPSL1	0
C6orf128	TMEM217	0
C6orf129	CCDC167	0
C6orf13	TRIM31	0
C6orf130	OARD1	0
C6orf131	GUCA1A	0
C6orf133	UBR2	0
C6orf134	ATAT1	0
C6orf135	RPP21	0
C6orf137	TMEM151B	0
C6orf138	PTCHD4	0
C6orf139	CENPQ	0
C6orf14	MRPS18B	0
C6orf140	GLYATL3	0
C6orf142	MLIP	0
C6orf143	FAM83B	0
C6orf144	GFRAL	0
C6orf145	PXDC1	0
C6orf147	KHDC1	0
C6orf148	KHDC1	0
C6orf149	LYRM4	0
C6orf150	CGAS	0
C6orf151	SNRNP48	0
C6orf152	LCA5	0
C6orf153	RRP36	0
C6orf156	OOEP	0
C6orf157	UBE3D	0
C6orf158	PRSS35	0
C6orf159	RIPPLY2	0
C6orf162	SMIM8	0
C6orf165	CFAP206	0
C6orf166	AKIRIN2	0
C6orf167	MMS22L	0
C6orf168	FAXC	0
C6orf169	SLC35F1	0
C6orf17	PSORS1C2	0
C6orf170	TBC1D32	0
C6orf171	TBC1D32	0
C6orf172	RNF217	0
C6orf173	CENPW	0
C6orf174	SOGA3	0
C6orf175	GTF2H5	0
C6orf176	LINC00473	0
C6orf177	SYCP2L	0
C6orf178	EYS	0
C6orf179	EYS	0
C6orf18	CCHCR1	0
C6orf180	EYS	0
C6orf182	CEP57L1	0
C6orf186	METTL24	0
C6orf187	CALHM6	0
C6orf188	CALHM5	0
C6orf189	FAM162B	0
C6orf19	LY6G5B	0
C6orf190	THEMIS	0
C6orf191	TMEM244	0
C6orf192	SLC18B1	0
C6orf193	KDM1B	0
C6orf194	NKAPL	0
C6orf196	SLC35B3	0
C6orf197	TBC1D22B	0
C6orf198	TXLNB	0
C6orf199	AK9	0
C6orf2	TRAF3IP2	0
C6orf20	LY6G5C	0
C6orf204	CEP85L	0
C6orf205	MUC21	0
C6orf206	RSPH9	0
C6orf207	THEMIS	0
C6orf209	LMBRD1	0
C6orf21	LY6G6F	0
C6orf210	PDSS2	0
C6orf211	ARMT1	0
C6orf212	CLVS2	0
C6orf213	CLVS2	0
C6orf218	LINC00518	0
C6orf221	KHDC3L	0
C6orf224	AK9	0
C6orf228	SMIM13	0
C6orf23	LY6G6D	0
C6orf24	LY6G6C	0
C6orf25	MPIG6B	0
C6orf27	VWA7	0
C6orf28	LSM2	0
C6orf29	SLC44A4	0
C6orf30	EHMT2	0
C6orf31	PRRT1	0
C6orf32	RIPOR2	0
C6orf33	PAQR8	0
C6orf34	HEBP2	0
C6orf35	TMEM242	0
C6orf37	DPCR1|FAM46A	1
C6orf4	TRAF3IP2	0
C6orf40	ZFP57	0
C6orf46	ZBTB12	0
C6orf49	PRICKLE4	0
C6orf5	TRAF3IP2	0
C6orf51	GTF3C6	0
C6orf53	TMEM14C	0
C6orf54	KIF25-AS1	0
C6orf55	VTA1	0
C6orf56	PHACTR2	0
C6orf57	SDHAF4	0
C6orf58	LEG1	0
C6orf6	TRAF3IP2	0
C6orf60	FAM184A	0
C6orf61	MCM9	0
C6orf63	NHSL1	0
C6orf64	SAYSD1	0
C6orf65	BEND6	0
C6orf66	NDUFAF4	0
C6orf67	TMEM30A	0
C6orf68	NUS1	0
C6orf69	KCTD20	0
C6orf70	ERMARD	0
C6orf71	IYD	0
C6orf72	GINM1	0
C6orf73	TMEM14A	0
C6orf74	HDDC2	0
C6orf75	TRMT11	0
C6orf76	TREML2	0
C6orf78	CALHM4	0
C6orf79	MCUR1	0
C6orf8	EGFL8	0
C6orf80	CCDC28A	0
C6orf81	ARMC12	0
C6orf82	CUTA	0
C6orf83	SFT2D1	0
C6orf84	CEP162	0
C6orf85	SLC22A23	0
C6orf86	PSMG4	0
C6orf9	GPSM3	0
C6orf90	NOL7	0
C6orf91	ECT2L	0
C6orf92	ARFGEF3	0
C6orf93	LTV1	0
C6orf94	ZC2HC1B	0
C6orf95	ZC3H12D	0
C6orf96	RMND1	0
C6orf97	CCDC170	0
C6orf98	SYNE1	0
C7orf1	CLDN3	0
C7orf10	SUGCT	0
C7orf11	MPLKIP	0
C7orf12	CASD1	0
C7orf13	LINC01006	0
C7orf14	NUP205	0
C7orf15	PVRIG	0
C7orf16	PPP1R17	0
C7orf17	CHCHD2	0
C7orf18	NAPEPLD	0
C7orf19	ORAI2	0
C7orf2	LMBR1	0
C7orf20	GET4	0
C7orf21	TMUB1	0
C7orf22	CCM2	0
C7orf23	TMEM243	0
C7orf24	GGCT	0
C7orf27	BRAT1	0
C7orf28A	CCZ1	0
C7orf28B	CCZ1B	0
C7orf3	NOM1	0
C7orf30	MALSU1	0
C7orf32	ATP6V0E2	0
C7orf34	LLCFC1	0
C7orf35	TMEM60	0
C7orf36	YAE1D1	0
C7orf38	FAM200A	0
C7orf39	ZC3HAV1L	0
C7orf41	MTURN	0
C7orf42	TMEM248	0
C7orf44	COA1	0
C7orf45	SSMEM1	0
C7orf47	PPP1R35	0
C7orf48	PSMG3	0
C7orf49	CYREN	0
C7orf5	SAMD9	0
C7orf51	NYAP1	0
C7orf52	NAT16	0
C7orf53	LSMEM1	0
C7orf55	FMC1	0
C7orf58	CPED1	0
C7orf59	LAMTOR4	0
C7orf6	SAMD9L	0
C7orf60	BMT2	0
C7orf64	RBM48	0
C7orf67	MINDY4	0
C7orf68	HILPDA	0
C7orf7	ASZ1	0
C7orf70	FAM220A	0
C7orf72	SPATA48	0
C7orf73	STMP1	0
C7orf74	CCDC71L	0
C7orf8	CTTNBP2	0
C7orf9	NPVF	0
C8	CDCA3	0
C8AP2_HUMAN	CASP8AP2	0
C8FW	TRIB1	0
C8orf1	OSGIN2	0
C8orf13	FAM167A	0
C8orf2	ERLIN2	0
C8orf20	REEP4	0
C8orf21	XKR6	0
C8orf22	PPDPFL	0
C8orf30A	HGH1	0
C8orf30B	HGH1	0
C8orf32	WDYHV1	0
C8orf35	INTS10	0
C8orf36	NSMCE2	0
C8orf38	NDUFAF6	0
C8orf4	TCIM	0
C8orf40	SMIM19	0
C8orf41	TTI2	0
C8orf42	TDRP	0
C8orf45	MCMDC2	0
C8orf5	XKR6	0
C8orf51	RHPN1-AS1	0
C8orf52	INTS8	0
C8orf53	UTP23	0
C8orf55	THEM6	0
C8orf57	MMP16	0
C8orf61	CLN8	0
C8orf68	DLGAP2	0
C8orf7	XKR6	0
C8orf70	ZC2HC1A	0
C8orf71	LINC00588	0
C8orf72	FAM110B	0
C8orf79	KIAA1456	0
C8orf80	NUGGC	0
C8orf83	TRIQK	0
C8orf84	SBSPON	0
C8orf85	AARD	0
C8orf9	MTMR9	0
C8orfK23	FER1L6	0
C8orfK29	TMEM249	0
C8orfK32	FAM135B	0
C8orfK36	KLHL38	0
C99L2_HUMAN	CD99L2	0
C9IYK1_HUMAN	C9IYK1	0
C9J1V9_HUMAN	EEF1E1-BLOC1S5	0
C9J2C7_HUMAN	NT5C1B-RDH14	0
C9JAW5_HUMAN	C9JAW5	0
C9JCJ5_HUMAN	C9JCJ5	0
C9JVG2_HUMAN	C9JVG2	0
C9orf10	FAM120A	0
C9orf100	ARHGEF39	0
C9orf101	CNTLN	0
C9orf102	ERCC6L2	0
C9orf103	IDNK	0
C9orf105	TOMM5	0
C9orf108	C9orf47	0
C9orf11	EQTN	0
C9orf111	PNPLA7	0
C9orf112	DPH7	0
C9orf114	SPOUT1	0
C9orf115	PTRH1	0
C9orf117	CFAP157	0
C9orf119	SWI5	0
C9orf12	IPPK	0
C9orf121	NXNL2	0
C9orf123	DMAC1	0
C9orf125	TMEM246	0
C9orf126	SCAI	0
C9orf127	TMEM8B	0
C9orf13	SVEP1	0
C9orf132	FAM102A	0
C9orf134	IZUMO3	0
C9orf136	FAM69B	0
C9orf138	SAXO1	0
C9orf140	SAPCD2	0
C9orf142	PAXX	0
C9orf143	FREM1	0
C9orf144B	FAM205A	0
C9orf145	FREM1	0
C9orf15	PTGES2	0
C9orf150	LURAP1L	0
C9orf151	DNLZ	0
C9orf154	FREM1	0
C9orf155	GOLM1	0
C9orf156	TRMO	0
C9orf157	SOHLH1	0
C9orf158	HDHD3	0
C9orf164	SEMA4D	0
C9orf165	ENHO	0
C9orf166	FAM163B	0
C9orf167	TOR4A	0
C9orf169	CYSRT1	0
C9orf17	CDC26	0
C9orf171	CFAP77	0
C9orf172	AJM1	0
C9orf174	CCDC180	0
C9orf19	GLIPR2	0
C9orf2	TMEFF1	0
C9orf20	TTLL11	0
C9orf21	AAED1	0
C9orf23	RPP25L	0
C9orf24	SMRP1	0
C9orf26	IL33	0
C9orf27	LINC00474	0
C9orf28	MVB12B	0
C9orf3	AOPEP	0
C9orf30	MSANTD3	0
C9orf32	NTMT1	0
C9orf34	NOL8	0
C9orf35	MOB3B	0
C9orf36	SPATA31A1	0
C9orf36B	SPATA31B1P	0
C9orf39	CNTLN	0
C9orf4	FRRS1L	0
C9orf41	CARNMT1	0
C9orf42	FAM122A	0
C9orf46	PLGRKT	0
C9orf48	KIF24	0
C9orf49	CHCHD2P9	0
C9orf5	TMEM245	0
C9orf54	MIGA2	0
C9orf55	DENND4C	0
C9orf55B	DENND4C	0
C9orf58	AIF1L	0
C9orf6	FAM206A	0
C9orf60	ZER1	0
C9orf61	FAM189A2	0
C9orf65	PRUNE2	0
C9orf67	PLPP7	0
C9orf69	TMEM250	0
C9orf7	CACFD1	0
C9orf71	TMEM252	0
C9orf74	URM1	0
C9orf75	TPRN	0
C9orf76	RMI1	0
C9orf77	ABHD17B	0
C9orf79	SPATA31E1	0
C9orf8	ADAMTS13	0
C9orf80	INIP	0
C9orf81	CEP78	0
C9orf82	CAAP1	0
C9orf83	CHMP5	0
C9orf86	RABL6	0
C9orf87	TMEM38B	0
C9orf88	FAM129B	0
C9orf89	CARD19	0
C9orf9	SPACA9	0
C9orf90	NAIF1	0
C9orf91	TMEM268	0
C9orf94	ADAMTSL1	0
C9orf95	NMRK1	0
C9orf96	STKLD1	0
C9orf97	TSTD2	0
C9orf98	AK8	0
C9orf99	HSDL2	0
CA021_HUMAN	C1orf21	0
CA043_HUMAN	C1orf43	0
CA050_HUMAN	C1orf50	0
CA052_HUMAN	C1orf52	0
CA054_HUMAN	C1orf54	0
CA094_HUMAN	C1orf94	0
CA105_HUMAN	C1orf105	0
CA109_HUMAN	C1orf109	0
CA115_HUMAN	C1orf115	0
CA123_HUMAN	C1orf123	0
CA125	MUC16	0
CA131_HUMAN	C1orf131	0
CA134_HUMAN	C1orf134	0
CA150	TCERG1	0
CA159_HUMAN	C1orf159	0
CA162_HUMAN	C1orf162	0
CA174_HUMAN	C1orf174	0
CA185_HUMAN	C1orf185	0
CA186_HUMAN	C1orf186	0
CA189_HUMAN	C1orf189	0
CA198_HUMAN	C1orf198	0
CA210_HUMAN	C1orf210	0
CA216_HUMAN	C1orf216	0
CA2D1_HUMAN	CACNA2D1	0
CA2D2_HUMAN	CACNA2D2	0
CA2D3_HUMAN	CACNA2D3	0
CA2D4_HUMAN	CACNA2D4	0
CA5	CA5A	0
CA5BL	CA5BP1	0
CA5BL_HUMAN	CA5BP1	0
CAAP	CAAP1	0
CAAP1_HUMAN	CAAP1	0
CAB1	STARD3	0
CAB2	PGAP3	0
CAB27	CALB1	0
CAB29	CALB2	0
CAB39_HUMAN	CAB39	0
CAB45	SDF4	0
CAB45_HUMAN	SDF4	0
CAB56184	GNPTG	0
CABC1	COQ8A	0
CABIN_HUMAN	CABIN1	0
CABL1_HUMAN	CABLES1	0
CABL2_HUMAN	CABLES2	0
CABLES	CABLES1	0
CABP1_HUMAN	CABP1	0
CABP2_HUMAN	CABP2	0
CABP3	CABP5	0
CABP4_HUMAN	CABP4	0
CABP5_HUMAN	CABP5	0
CABP7_HUMAN	CABP7	0
CABP8	CALN1	0
CABP8_HUMAN	CALN1	0
CABP9K	S100G	0
CABS1_HUMAN	CABS1	0
CABYR_HUMAN	CABYR	0
CAC	SLC25A20	0
CAC1	CACUL1|TMEM54	1
CAC1A_HUMAN	CACNA1A	0
CAC1B_HUMAN	CACNA1B	0
CAC1C_HUMAN	CACNA1C	0
CAC1D_HUMAN	CACNA1D	0
CAC1E_HUMAN	CACNA1E	0
CAC1F_HUMAN	CACNA1F	0
CAC1G_HUMAN	CACNA1G	0
CAC1H_HUMAN	CACNA1H	0
CAC1I_HUMAN	CACNA1I	0
CAC1S_HUMAN	CACNA1S	0
CACB1_HUMAN	CACNB1	0
CACB2_HUMAN	CACNB2	0
CACB3_HUMAN	CACNB3	0
CACB4_HUMAN	CACNB4	0
CACC1	CLCA1	0
CACC3	CLCA2	0
CACH	ACOT12	0
CACH1	ACOT12|CACNA1S	1
CACH2	CACNA1C	0
CACH3	CACNA1D	0
CACH4	CACNA1A	0
CACH5	CACNA1B	0
CACH6	CACNA1E	0
CACL1_HUMAN	CACUL1	0
CACN1	CACNA1S	0
CACN2	CACNA1C	0
CACN3	CACNA1A	0
CACN4	CACNA1D	0
CACNAF1	CACNA1F	0
CACNL1A1	CACNA1C	0
CACNL1A2	CACNA1D	0
CACNL1A3	CACNA1S	0
CACNL1A4	CACNA1A	0
CACNL1A5	CACNA1B	0
CACNL1A6	CACNA1E	0
CACNL2A	CACNA2D1	0
CACNLB1	CACNB1	0
CACNLB2	CACNB2	0
CACNLB3	CACNB3	0
CACNLB4	CACNB4	0
CACNLG	CACNG1	0
CACO1_HUMAN	CALCOCO1	0
CACO2_HUMAN	CALCOCO2	0
CACP_HUMAN	CRAT	0
CACT	SLC25A20	0
CACY	S100A6	0
CAD10_HUMAN	CDH10	0
CAD11_HUMAN	CDH11	0
CAD12_HUMAN	CDH12	0
CAD13_HUMAN	CDH13	0
CAD15_HUMAN	CDH15	0
CAD16_HUMAN	CDH16	0
CAD17_HUMAN	CDH17	0
CAD18_HUMAN	CDH18	0
CAD19_HUMAN	CDH19	0
CAD20_HUMAN	CDH20	0
CAD22_HUMAN	CDH22	0
CAD23_HUMAN	CDH23	0
CAD24_HUMAN	CDH24	0
CAD26_HUMAN	CDH26	0
CADH1_HUMAN	CDH1	0
CADH2_HUMAN	CDH2	0
CADH3_HUMAN	CDH3	0
CADH4_HUMAN	CDH4	0
CADH5_HUMAN	CDH5	0
