identifier	name	namespace	description	class
GO:0002070	epithelial cell maturation	biological_process	The developmental process, independent of morphogenetic (shape) change, that is required for an epithelial cell to attain its fully functional state. An epithelial cell is a cell usually found in a two-dimensional sheet with a free surface.	GOTerm
GO:0014054	positive regulation of gamma-aminobutyric acid secretion	biological_process	Any process that activates or increases the frequency, rate or extent of the regulated release of gamma-aminobutyric acid.	GOTerm
GO:0015385	sodium:proton antiporter activity	molecular_function	Catalysis of the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: Na+(out) + H+(in) = Na+(in) + H+(out).	GOTerm
GO:0002071	glandular epithelial cell maturation	biological_process	The developmental process, independent of morphogenetic (shape) change, that is required for a glandular epithelial cell to attain its fully functional state. A glandular epithelial cell is a columnar/cuboidal epithelial cell is a cell found in a two dimensional sheet with a free surface exposed to the lumen of a gland.	GOTerm
GO:0014053	negative regulation of gamma-aminobutyric acid secretion	biological_process	Any process that stops, prevents, or reduces the frequency, rate or extent of the regulated release of gamma-aminobutyric acid.	GOTerm
GO:0002072	optic cup morphogenesis involved in camera-type eye development	biological_process	The invagination of the optic vesicle to form two-walled indentations, the optic cups, that will go on to form the retina. This process begins with the optic vesicle becoming a two-walled structure and its subsequent shape changes. It does not include the fate commitment of cells to become the pigmented retina and the neural retina. An example of this process is found in Mus musculus.	GOTerm
GO:0038001	paracrine signaling	biological_process	The transfer of information from one cell to another, where the signal travels from the signal-producing cell to the receiving cell by passive diffusion or bulk flow in intercellular fluid. The signaling cell and the receiving cell are usually in the vicinity of each other.	GOTerm
GO:0014051	gamma-aminobutyric acid secretion	biological_process	The regulated release of gamma-aminobutyric acid by a cell or a tissue. The gamma-aminobutyric acid is the principal inhibitory neurotransmitter in the brain but is also found in several extraneural tissues.	GOTerm
GO:0015382	sodium:sulfate symporter activity	molecular_function	Catalysis of the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: sulfate(out) + Na+(out) = sulfate(in) + Na+(in).	GOTerm
GO:0002074	extraocular skeletal muscle development	biological_process	The process whose specific outcome is the progression of the extraocular skeletal muscle over time, from its formation to the mature structure. The extraocular muscle is derived from cranial mesoderm and controls eye movements. The muscle begins its development with the differentiation of the muscle cells and ends with the mature muscle. An example of this process is found in Mus musculus.	GOTerm
GO:0014050	negative regulation of glutamate secretion	biological_process	Any process that stops, prevents, or reduces the frequency, rate or extent of the controlled release of glutamate.	GOTerm
GO:0051041	positive regulation of calcium-independent cell-cell adhesion	biological_process	Any process that activates or increases the frequency, rate or extent of calcium-independent cell-cell adhesion.	GOTerm
GO:0002076	osteoblast development	biological_process	The process whose specific outcome is the progression of an osteoblast over time, from its formation to the mature structure. Osteoblast development does not include the steps involved in committing a cranial neural crest cell or an osteoprogenitor cell to an osteoblast fate. An osteoblast is a cell that gives rise to bone.	GOTerm
GO:0002077	acrosome matrix dispersal	biological_process	The proteolytic digestion of components in the acrosomal matrix that allows for their release into the egg. The dispersal of the components allows for the inner acrosomal membrane to interact with the egg.	GOTerm
GO:0002079	inner acrosomal membrane	cellular_component	The acrosomal membrane region that underlies the acrosomal vesicle and is located toward the sperm nucleus. This region is responsible for molecular interactions allowing the sperm to penetrate the zona pellucida and fuses with the egg plasma membrane.	GOTerm
GO:1990034	calcium ion export from cell	biological_process	The directed movement of calcium ions out of a cell.	GOTerm
GO:0030997	regulation of centriole-centriole cohesion	biological_process	Any process that modulates the extent to which the two centrioles within a centrosome remain tightly paired; may be mediated by the assembly and disassembly of a proteinaceous linker.	GOTerm
GO:1990035	calcium ion import into cell	biological_process	The directed movement of calcium ions from outside of a cell into the cytoplasmic compartment. This may occur via transport across the plasma membrane or via endocytosis.	GOTerm
GO:0051036	regulation of endosome size	biological_process	Any process that modulates the volume of an endosome, a membrane-bounded organelle that carries materials newly ingested by endocytosis.	GOTerm
GO:0030999	linear element assembly	biological_process	The cell cycle process in which a proteinaceous scaffold, related to the synaptonemal complex, is assembled in association with S. pombe chromosomes during meiotic prophase.	GOTerm
GO:0051033	RNA transmembrane transporter activity	molecular_function	Enables the transfer of RNA, ribonucleic acid, from one side of a membrane to the other.	GOTerm
GO:0030990	intraciliary transport particle	cellular_component	A nonmembrane-bound oligomeric protein complex that participates in bidirectional transport of molecules (cargo) along axonemal microtubules.	GOTerm
GO:0030992	intraciliary transport particle B	cellular_component	The larger subcomplex of the intraciliary transport particle; characterized complexes have molecular weights around 550 kDa.	GOTerm
GO:0030991	intraciliary transport particle A	cellular_component	The smaller subcomplex of the intraciliary transport particle; characterized complexes have molecular weights of 710-760 kDa.	GOTerm
GO:0051039	positive regulation of transcription involved in meiotic cell cycle	biological_process	Any process that activates or increases the frequency, rate or extent of transcription as part of a meiotic cell cycle.	GOTerm
GO:0014049	positive regulation of glutamate secretion	biological_process	Any process that activates or increases the frequency, rate or extent of the controlled release of glutamate.	GOTerm
GO:0042976	activation of Janus kinase activity	biological_process	The process of introducing a phosphate group to a tyrosine residue of a JAK (Janus Activated Kinase) protein, thereby activating it.	GOTerm
GO:0042977	activation of JAK2 kinase activity	biological_process	The process of introducing a phosphate group to a tyrosine residue of a JAK2 (Janus Activated Kinase 2) protein, thereby activating it.	GOTerm
GO:0042978	ornithine decarboxylase activator activity	molecular_function	Upregulation of the activity of the enzyme ornithine decarboxylase.	GOTerm
GO:1990050	phosphatidic acid transporter activity	molecular_function	Enables the directed movement of phosphatidic acid into, out of or within a cell, or between cells. Phosphatidic acid refers to a glycophospholipids with, in general, a saturated fatty acid bonded to carbon-1, an unsaturated fatty acid bonded to carbon-2, and a phosphate group bonded to carbon-3.	GOTerm
GO:0042974	retinoic acid receptor binding	molecular_function	Interacting selectively and non-covalently with the retinoic acid receptor, a ligand-regulated transcription factor belonging to the nuclear receptor superfamily.	GOTerm
GO:0042975	peroxisome proliferator activated receptor binding	molecular_function	Interacting selectively and non-covalently with any of the peroxisome proliferator activated receptors, alpha, beta or gamma.	GOTerm
GO:1990046	stress-induced mitochondrial fusion	biological_process	Merging of two or more mitochondria within a cell to form a single compartment, as a result of a disturbance in cellular homeostasis.	GOTerm
GO:0042987	amyloid precursor protein catabolic process	biological_process	The chemical reactions and pathways resulting in the breakdown of amyloid precursor protein (APP), the precursor of beta-amyloid, a glycoprotein associated with Alzheimer's disease.	GOTerm
GO:0042989	sequestering of actin monomers	biological_process	The selective interaction of actin monomers with specific molecules that inhibit their polymerization by preventing their access to other monomers.	GOTerm
GO:0038066	p38MAPK cascade	biological_process	An intracellular protein kinase cascade containing at least a p38 MAPK, a MAPKK and a MAP3K. The cascade can also contain two additional tiers: the upstream MAP4K and the downstream MAP Kinase-activated kinase (MAPKAPK). The kinases in each tier phosphorylate and activate the kinases in the downstream tier to transmit a signal within a cell.	GOTerm
GO:0038062	protein tyrosine kinase collagen receptor activity	molecular_function	Combining with collagen and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity by catalysis of the reaction: ATP + a protein-L-tyrosine = ADP + a protein-L-tyrosine phosphate.	GOTerm
GO:0038061	NIK/NF-kappaB signaling	biological_process	The process in which a signal is passed on to downstream components within the cell through the NIK-dependent processing and activation of NF-KappaB. Begins with activation of the NF-KappaB-inducing kinase (NIK), which in turn phosphorylates and activates IkappaB kinase alpha (IKKalpha). IKKalpha phosphorylates the NF-Kappa B2 protein (p100) leading to p100 processing and release of an active NF-KappaB (p52).	GOTerm
GO:0042981	regulation of apoptotic process	biological_process	Any process that modulates the occurrence or rate of cell death by apoptotic process.	GOTerm
GO:0042982	amyloid precursor protein metabolic process	biological_process	The chemical reactions and pathways involving amyloid precursor protein (APP), the precursor of beta-amyloid, a glycoprotein associated with Alzheimer's disease.	GOTerm
GO:0038063	collagen-activated tyrosine kinase receptor signaling pathway	biological_process	A series of molecular signals initiated by the binding of collagen to a receptor on the surface of the target cell where the receptor possesses tyrosine kinase activity. The pathway ends with regulation of a downstream cellular process, e.g. transcription.	GOTerm
GO:0042984	regulation of amyloid precursor protein biosynthetic process	biological_process	Any process that modulates the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of amyloid precursor protein (APP), the precursor of beta-amyloid.	GOTerm
GO:0042985	negative regulation of amyloid precursor protein biosynthetic process	biological_process	Any process that stops, prevents, or reduces the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of amyloid precursor protein (APP), the precursor of beta-amyloid.	GOTerm
GO:0042986	positive regulation of amyloid precursor protein biosynthetic process	biological_process	Any process that activates or increases the frequency, rate or extent of the chemical reactions and pathways resulting in the formation of amyloid precursor protein (APP), the precursor of beta-amyloid.	GOTerm
GO:0042998	positive regulation of Golgi to plasma membrane protein transport	biological_process	Any process that activates or increases the frequency, rate or extent of the transport of proteins from the Golgi to the plasma membrane.	GOTerm
GO:0042990	regulation of transcription factor import into nucleus	biological_process	Any process that modulates the frequency, rate or extent of the movement of a transcription factor from the cytoplasm to the nucleus.	GOTerm
GO:0042992	negative regulation of transcription factor import into nucleus	biological_process	Any process that stops, prevents, or reduces the frequency, rate or extent of the movement of a transcription factor from the cytoplasm to the nucleus.	GOTerm
GO:0042993	positive regulation of transcription factor import into nucleus	biological_process	Any process that activates or increases the frequency, rate or extent of the movement of a transcription factor from the cytoplasm to the nucleus.	GOTerm
GO:0038052	RNA polymerase II transcription factor activity, estrogen-activated sequence-specific DNA binding	molecular_function	Combining with estrogen and transmitting the signal to the transcriptional machinery by interacting selectively and non-covalently with a specific DNA sequence in order to modulate transcription by RNA polymerase II.	GOTerm
GO:0042994	cytoplasmic sequestering of transcription factor	biological_process	The selective interaction of a transcription factor with specific molecules in the cytoplasm, thereby inhibiting its translocation into the nucleus.	GOTerm
GO:1990074	polyuridylation-dependent mRNA catabolic process	biological_process	The chemical reactions and pathways resulting in the breakdown of a messenger RNA (mRNA) molecule, initiated by the enzymatic addition of a sequence of uridylyl residues (polyuridylation) at the 3' end of the target mRNA.	GOTerm
GO:0042995	cell projection	cellular_component	A prolongation or process extending from a cell, e.g. a flagellum or axon.	GOTerm
GO:0042996	regulation of Golgi to plasma membrane protein transport	biological_process	Any process that modulates the frequency, rate or extent of the transport of proteins from the Golgi to the plasma membrane.	GOTerm
GO:0042997	negative regulation of Golgi to plasma membrane protein transport	biological_process	Any process that stops, prevents, or reduces the frequency, rate or extent of the transport of proteins from the Golgi to the plasma membrane.	GOTerm
GO:1990077	primosome complex	cellular_component	Any of a family of protein complexes that form at the origin of replication or stalled replication forks and function in replication primer synthesis in all organisms.  Early complexes initiate double-stranded DNA unwinding. The core unit consists of a replicative helicase and a primase. The helicase further unwinds the DNA and recruits the polymerase machinery. The primase synthesizes RNA primers that act as templates for complementary stand replication by the polymerase machinery. The primosome contains a number of associated proteins and protein complexes and contributes to the processes of replication initiation, lagging strand elongation, and replication restart.	GOTerm
GO:0052314	phytoalexin metabolic process	biological_process	The chemical reactions and pathways involving phytoalexins, any of a range of substances produced by plants as part of their defense response.	GOTerm
GO:0038048	dynorphin receptor activity	molecular_function	Combining with a dynorphin peptide, and transmitting the signal across the membrane by activating an associated G-protein. Dynorphin is any opioid peptide that is generated by cleavage of the precursor protein prodynorphin.	GOTerm
GO:0038047	morphine receptor activity	molecular_function	Combining with morphine (17-methyl-7,8-didehydro-4,5alpha-epoxymorphinan-3,6alpha-diol), and transmitting the signal across the membrane by activating an associated G-protein.	GOTerm
GO:0038043	interleukin-5-mediated signaling pathway	biological_process	A series of molecular signals initiated by the binding of interleukin-5 to a receptor on the surface of a cell, and ending with regulation of a downstream cellular process, e.g. transcription.	GOTerm
GO:0038046	enkephalin receptor activity	molecular_function	Combining with an enkephalin, and transmitting the signal across the membrane by activating an associated G-protein. A enkephalin is a pentapeptide (Tyr-Gly-Gly-Phe-Met or Tyr-Gly-Gly-Phe-Leu) involved in regulating nociception in the body.	GOTerm
GO:1990081	trimethylamine receptor activity	molecular_function	Combining with the biogenic amine trimethylamine to initiate a change in cell activity.	GOTerm
GO:1990086	lens fiber cell apoptotic process	biological_process	Any apoptotic process in a lens fiber cell. Lens fiber cells are elongated, tightly packed cells that make up the bulk of the mature lens in a camera-type eye.	GOTerm
GO:1990079	cartilage homeostasis	biological_process	A tissue homeostatic process involved in the maintenance of an internal equilibrium within cartilage, including control of cellular proliferation and death and control of metabolic function.	GOTerm
GO:0090534	calcium ion-transporting ATPase complex	cellular_component	Protein complex that carries out the reaction: ATP + H2O + Ca2+(out) = ADP + phosphate + Ca2+(in).	GOTerm
GO:0090537	CERF complex	cellular_component	An ISWI complex that contains an ATPase subunit of the ISWI family (specifically SNF2L in mammals, which contain two ISWI homologs) and a CECR2 homolog. In mammals, CERF is involved in regulation of transcription from RNA polymerase II promoters.	GOTerm
GO:0090544	BAF-type complex	cellular_component	A SWI/SNF-type complex that contains a subunit from the BAF (Brahma-Associated Factor) family.	GOTerm
GO:0090543	Flemming body	cellular_component	A cell part that is the central region of the midbody characterized by a gap in alpha-tubulin staining. It is a dense structure of antiparallel microtubules from the central spindle in the middle of the intercellular bridge.	GOTerm
GO:0090541	MIT domain binding	molecular_function	Interacting selectively and non-covalently with the MIT domain of a protein. The MIT domain is found in vacuolar sorting proteins, spastin (probable ATPase involved in the assembly or function of nuclear protein complexes), and a sorting nexin, which may play a role in intracellular trafficking.	GOTerm
GO:1990000	amyloid fibril formation	biological_process	The generation of amyloid fibrils, insoluble fibrous protein aggregates exhibiting beta sheet structure, from proteins. An example of this is seen when human RIP1 and RIP3 kinases form a heterodimeric functional amyloid signaling complex (PMID:22817896).	GOTerm
GO:0090526	regulation of gluconeogenesis involved in cellular glucose homeostasis	biological_process	Any process that modulates the frequency, rate or extent of gluconeogenesis as an integral part of cellular glucose homeostasis.	GOTerm
GO:0090527	actin filament reorganization	biological_process	A process that is carried out at the cellular level which results in dynamic structural changes to the arrangement of actin filaments.	GOTerm
GO:0005901	caveola	cellular_component	A membrane raft that forms small pit, depression, or invagination that communicates with the outside of a cell and extends inward, indenting the cytoplasm and the cell membrane. Examples include flask-shaped invaginations of the plasma membrane in adipocytes associated with caveolin proteins, and minute pits or incuppings of the cell membrane formed during pinocytosis.  Caveolae may be pinched off to form free vesicles within the cytoplasm.	GOTerm
GO:0005900	oncostatin-M receptor complex	cellular_component	A heterodimeric receptor for the cytokine oncostatin-M (OSM). In humans the receptor complex is made up of the gene products gp130 and OSMR-beta.	GOTerm
GO:0005903	brush border	cellular_component	The dense covering of microvilli on the apical surface of a epithelial cells in tissues such as the intestine, kidney, and choroid plexus; the microvilli aid absorption by increasing the surface area of the cell.	GOTerm
GO:0005902	microvillus	cellular_component	Thin cylindrical membrane-covered projections on the surface of an animal cell containing a core bundle of actin filaments. Present in especially large numbers on the absorptive surface of intestinal cells.	GOTerm
GO:0005905	clathrin-coated pit	cellular_component	A part of the endomembrane system in the form of an invagination of a membrane upon which a clathrin coat forms, and that can be converted by vesicle budding into a clathrin-coated vesicle. Coated pits form on the plasma membrane, where they are involved in receptor-mediated selective transport of many proteins and other macromolecules across the cell membrane, in the trans-Golgi network, and on some endosomes.	GOTerm
GO:0005912	adherens junction	cellular_component	A cell junction at which anchoring proteins (cadherins or integrins) extend through the plasma membrane and are attached to actin filaments.	GOTerm
GO:0005911	cell-cell junction	cellular_component	A cell junction that forms a connection between two or more cells in a multicellular organism; excludes direct cytoplasmic junctions such as ring canals.	GOTerm
GO:0005914	spot adherens junction	cellular_component	A small cell-cell adherens junction assembled during the cellularization stage of insect embyrogenesis; spot adherens junctions later fuse to form the zonula adherens.	GOTerm
GO:0005913	cell-cell adherens junction	cellular_component	An adherens junction which connects a cell to another cell.	GOTerm
GO:0005916	fascia adherens	cellular_component	A cell-cell adherens junction that contains the transmembrane protein N-cadherin, which interacts with identical molecules from neighboring cells to form a tight mechanical intercellular link; forms a large portion of the intercalated disc, the structure at which myofibrils terminate in cardiomyocytes.	GOTerm
GO:0005915	zonula adherens	cellular_component	A cell-cell adherens junction which forms a continuous belt near the apex of epithelial cells.	GOTerm
GO:0016601	Rac protein signal transduction	biological_process	A series of molecular signals within the cell that are mediated by a member of the Rac family of proteins switching to a GTP-bound active state.	GOTerm
GO:0016602	CCAAT-binding factor complex	cellular_component	A heteromeric transcription factor complex that binds to the CCAAT-box upstream of promoters; functions as both an activator and a repressor, depending on its interacting cofactors. Typically trimeric consisting of NFYA, NFYB and NFYC subunits. In Saccharomyces, it activates the transcription of genes in response to growth in a nonfermentable carbon source and consists of four known subunits: HAP2, HAP3, HAP4 and HAP5.	GOTerm
GO:0016603	glutaminyl-peptide cyclotransferase activity	molecular_function	Catalysis of the reaction: L-glutaminyl-peptide = 5-oxoprolyl-peptide + NH3.	GOTerm
GO:0016604	nuclear body	cellular_component	Extra-nucleolar nuclear domains usually visualized by confocal microscopy and fluorescent antibodies to specific proteins.	GOTerm
GO:0016605	PML body	cellular_component	A class of nuclear body; they react against SP100 auto-antibodies (PML, promyelocytic leukemia); cells typically contain 10-30 PML bodies per nucleus; alterations in the localization of PML bodies occurs after viral infection.	GOTerm
GO:0016607	nuclear speck	cellular_component	A discrete extra-nucleolar subnuclear domain, 20-50 in number, in which splicing factors are seen to be localized by immunofluorescence microscopy.	GOTerm
GO:0016608	growth hormone-releasing hormone activity	molecular_function	The action characteristic of growth hormone-releasing hormone, any of a family of peptide hormones that act on the anterior pituitary to stimulate the secretion of growth hormone and exert a trophic effect on the gland.	GOTerm
GO:0004621	glycosylphosphatidylinositol phospholipase D activity	molecular_function	Catalysis of the reaction: glycoprotein phosphatidylinositol + H2O = phosphatidate + glycoprotein inositol.	GOTerm
GO:0005952	cAMP-dependent protein kinase complex	cellular_component	An enzyme complex, composed of regulatory and catalytic subunits, that catalyzes protein phosphorylation. Inactive forms of the enzyme have two regulatory chains and two catalytic chains; activation by cAMP produces two active catalytic monomers and a regulatory dimer.	GOTerm
GO:0004620	phospholipase activity	molecular_function	Catalysis of the hydrolysis of a glycerophospholipid.	GOTerm
GO:0005943	phosphatidylinositol 3-kinase complex, class IA	cellular_component	A class I phosphatidylinositol 3-kinase complex that possesses 1-phosphatidylinositol-4-phosphate 3-kinase activity; comprises a catalytic class IA phosphoinositide 3-kinase (PI3K) subunit and an associated SH2 domain-containing regulatory subunit that is a member of a family of related proteins often called p85 proteins. Through the interaction with the SH2-containing adaptor subunits, Class IA PI3K catalytic subunits are linked to tyrosine kinase signaling pathways.	GOTerm
GO:0004611	phosphoenolpyruvate carboxykinase activity	molecular_function	Catalysis of the reaction: source of phosphate + oxaloacetate = phosphoenolpyruvate + CO2 + other reaction products.	GOTerm
GO:0005942	phosphatidylinositol 3-kinase complex	cellular_component	A protein complex capable of phosphatidylinositol 3-kinase activity and containing subunits of any phosphatidylinositol 3-kinase (PI3K) enzyme. These complexes are divided in three classes (called I, II and III) that differ for their presence across taxonomic groups and for the type of their constituents. Catalytic subunits of phosphatidylinositol 3-kinase enzymes are present in all 3 classes; regulatory subunits of phosphatidylinositol 3-kinase enzymes are present in classes I and III; adaptor proteins have been observed in class II complexes and may be present in other classes too.	GOTerm
GO:0004614	phosphoglucomutase activity	molecular_function	Catalysis of the reaction: alpha-D-glucose 1-phosphate = alpha-D-glucose 6-phosphate.	GOTerm
GO:0005945	6-phosphofructokinase complex	cellular_component	A protein complex that possesses 6-phosphofructokinase activity; homodimeric, homooctameric, and allosteric homotetrameric forms are known.	GOTerm
GO:0030901	midbrain development	biological_process	The process whose specific outcome is the progression of the midbrain over time, from its formation to the mature structure. The midbrain is the middle division of the three primary divisions of the developing chordate brain or the corresponding part of the adult brain (in vertebrates, includes a ventral part containing the cerebral peduncles and a dorsal tectum containing the corpora quadrigemina and that surrounds the aqueduct of Sylvius connecting the third and fourth ventricles).	GOTerm
GO:0004613	phosphoenolpyruvate carboxykinase (GTP) activity	molecular_function	Catalysis of the reaction: GTP + oxaloacetate = GDP + phosphoenolpyruvate + CO2.	GOTerm
GO:0005944	phosphatidylinositol 3-kinase complex, class IB	cellular_component	A class I phosphatidylinositol 3-kinase complex that possesses 1-phosphatidylinositol-4-phosphate 3-kinase activity; comprises a catalytic class IB phosphoinositide 3-kinase (PI3K) subunit and an associated regulatory subunit that is larger than, and unrelated to, the p85 proteins present in class IA complexes. Class IB PI3Ks are stimulated by G-proteins and do not interact with the SH2-domain containing adaptors that bind to Class IA PI3Ks.	GOTerm
GO:0030900	forebrain development	biological_process	The process whose specific outcome is the progression of the forebrain over time, from its formation to the mature structure. The forebrain is the anterior of the three primary divisions of the developing chordate brain or the corresponding part of the adult brain (in vertebrates, includes especially the cerebral hemispheres, the thalamus, and the hypothalamus and especially in higher vertebrates is the main control center for sensory and associative information processing, visceral functions, and voluntary motor functions).	GOTerm
GO:0004616	phosphogluconate dehydrogenase (decarboxylating) activity	molecular_function	Catalysis of the reaction: 6-phospho-D-gluconate + NADP+ = D-ribulose 5-phosphate + CO2 + NADPH + H+.	GOTerm
GO:0005947	mitochondrial alpha-ketoglutarate dehydrogenase complex	cellular_component	Mitochondrial complex that possesses alpha-ketoglutarate dehydrogenase activity.	GOTerm
GO:0030903	notochord development	biological_process	The process whose specific outcome is the progression of the notochord over time, from its formation to the mature structure. The notochord is a mesoderm-derived structure located ventral of the developing nerve cord. In vertebrates, the notochord serves as a core around which other mesodermal cells form the vertebrae. In the most primitive chordates, which lack vertebrae, the notochord persists as a substitute for a vertebral column.	GOTerm
GO:0004615	phosphomannomutase activity	molecular_function	Catalysis of the reaction: alpha-D-mannose 1-phosphate = D-mannose 6-phosphate.	GOTerm
GO:0030902	hindbrain development	biological_process	The process whose specific outcome is the progression of the hindbrain over time, from its formation to the mature structure. The hindbrain is the posterior of the three primary divisions of the developing chordate brain, or the corresponding part of the adult brain (in vertebrates, includes the cerebellum, pons, and medulla oblongata and controls the autonomic functions and equilibrium).	GOTerm
GO:0004618	phosphoglycerate kinase activity	molecular_function	Catalysis of the reaction: 3-phospho-D-glycerate + ATP = 3-phospho-D-glyceroyl phosphate + ADP + H(+).	GOTerm
GO:0004617	phosphoglycerate dehydrogenase activity	molecular_function	Catalysis of the reaction: 3-phosphoglycerate + NAD+ = 3-phosphohydroxypyruvate + NADH + H+.	GOTerm
GO:0030904	retromer complex	cellular_component	A conserved hetero-pentameric membrane-associated complex involved in retrograde transport from endosomes to the Golgi apparatus. The budding yeast retromer comprises Vps35p, Vps29p, Vps26p, Vps5p, and Vps17p. The mammalian complex shows slight variation in composition compared to yeast, and comprises SNX1 or SNX2, SNX5 or SNX6, VPS26A or VPS26B, VPS29, and VPS35.	GOTerm
GO:0004619	phosphoglycerate mutase activity	molecular_function	Catalysis of the reaction: 2-phospho-D-glycerate = 3-phospho-D-glycerate.	GOTerm
GO:0004630	phospholipase D activity	molecular_function	Catalysis of the reaction: a phosphatidylcholine + H2O = choline + a phosphatidate.	GOTerm
GO:0005960	glycine cleavage complex	cellular_component	A protein complex that catalyzes the reversible oxidation of glycine. In E. coli, it has four components: dihydrolipoamide dehydrogenase, glycine dehydrogenase (decarboxylating), lipoyl-GcvH-protein and aminomethyltransferase, also known as L, P, H, and T.	GOTerm
GO:0003300	cardiac muscle hypertrophy	biological_process	The enlargement or overgrowth of all or part of the heart muscle due to an increase in size of cardiac muscle cells without cell division.	GOTerm
GO:0004632	phosphopantothenate--cysteine ligase activity	molecular_function	Catalysis of the reaction: CTP + (R)-4'-phosphopantothenate + L-cysteine = CMP + diphosphate + (R)-4'-phosphopantothenoyl-L-cysteine. Cysteine can be replaced by some of its derivatives.	GOTerm
GO:0004631	phosphomevalonate kinase activity	molecular_function	Catalysis of the reaction: (R)-5-phosphomevalonate + ATP = (R)-5-diphosphomevalonate + ADP + H(+).	GOTerm
GO:0004623	phospholipase A2 activity	molecular_function	Catalysis of the reaction: phosphatidylcholine + H2O = 1-acylglycerophosphocholine + a carboxylate.	GOTerm
GO:0005954	calcium- and calmodulin-dependent protein kinase complex	cellular_component	An enzyme complex which in eukaryotes is composed of four different chains: alpha, beta, gamma, and delta. The different isoforms assemble into homo- or heteromultimeric holoenzymes composed of 8 to 12 subunits. Catalyzes the phosphorylation of proteins to O-phosphoproteins.	GOTerm
GO:0004622	lysophospholipase activity	molecular_function	Catalysis of the reaction: 2-lysophosphatidylcholine + H2O = glycerophosphocholine + a carboxylate.	GOTerm
GO:0005953	CAAX-protein geranylgeranyltransferase complex	cellular_component	A heterodimeric enzyme, composed of an alpha and a beta subunit. Participates in the post-translational C-terminal modification of several small GTPases, allowing their targeting to the membrane.	GOTerm
GO:0005956	protein kinase CK2 complex	cellular_component	A protein complex that possesses protein serine/threonine kinase activity, and contains two catalytic alpha subunits and two regulatory beta subunits. Protein kinase CK2 complexes are found in nearly every subcellular compartment, and can phosphorylate many protein substrates in addition to casein.	GOTerm
GO:0005955	calcineurin complex	cellular_component	A heterodimeric calcium ion and calmodulin dependent protein phosphatase composed of catalytic and regulatory subunits; the regulatory subunit is very similar in sequence to calmodulin.	GOTerm
GO:0005958	DNA-dependent protein kinase-DNA ligase 4 complex	cellular_component	A large protein complex which is involved in the repair of DNA double-strand breaks and, in mammals, V(D)J recombination events. It consists of the DNA-dependent protein kinase catalytic subunit (DNA-PKcs), the DNA end-binding heterodimer Ku, the nuclear phosphoprotein XRCC4 or a homolog thereof, and DNA ligase IV.	GOTerm
GO:0004629	phospholipase C activity	molecular_function	Catalysis of the reaction: a phospholipid + H2O = 1,2-diacylglycerol + a phosphatidate.	GOTerm
GO:0016600	flotillin complex	cellular_component	A protein complex that contains flotillin-1 and flotillin-2, and may contain associated proteins. Flotillins associate into membrane microdomains resembling caveolae.	GOTerm
GO:0005930	axoneme	cellular_component	The bundle of microtubules and associated proteins that forms the core of cilia (also called flagella) in eukaryotic cells and is responsible for their movements.	GOTerm
GO:0005921	gap junction	cellular_component	A cell-cell junction composed of pannexins or innexins and connexins, two different families of channel-forming proteins.	GOTerm
GO:0005923	bicellular tight junction	cellular_component	An occluding cell-cell junction that is composed of a branching network of sealing strands that completely encircles the apical end of each cell in an epithelial sheet; the outer leaflets of the two interacting plasma membranes are seen to be tightly apposed where sealing strands are present. Each sealing strand is composed of a long row of transmembrane adhesion proteins embedded in each of the two interacting plasma membranes.	GOTerm
GO:0005922	connexin complex	cellular_component	An assembly of six molecules of connexin, made in the Golgi apparatus and subsequently transported to the plasma membrane, where docking of two connexons on apposed plasma membranes across the extracellular space forms a gap junction.	GOTerm
GO:0005925	focal adhesion	cellular_component	Small region on the surface of a cell that anchors the cell to the extracellular matrix and that forms a point of termination of actin filaments.	GOTerm
GO:0005924	cell-substrate adherens junction	cellular_component	An adherens junction which connects a cell to the extracellular matrix.	GOTerm
GO:0005927	muscle tendon junction	cellular_component	A cell-substrate junction found at the terminal anchorage site of skeletal muscle cells to tendons.	GOTerm
GO:0005929	cilium	cellular_component	A specialized eukaryotic organelle that consists of a filiform extrusion of the cell surface and of some cytoplasmic parts. Each cilium is largely bounded by an extrusion of the cytoplasmic (plasma) membrane, and contains a regular longitudinal array of microtubules, anchored to a basal body.	GOTerm
GO:0004610	phosphoacetylglucosamine mutase activity	molecular_function	Catalysis of the reaction: N-acetyl-alpha-D-glucosamine 1-phosphate = N-acetyl-D-glucosamine 6-phosphate.	GOTerm
GO:0004601	peroxidase activity	molecular_function	Catalysis of the reaction: donor + hydrogen peroxide = oxidized donor + 2 H2O.	GOTerm
GO:0004603	phenylethanolamine N-methyltransferase activity	molecular_function	Catalysis of the reaction: S-adenosyl-L-methionine + phenylethanolamine = S-adenosyl-L-homocysteine + N-methylphenylethanolamine.	GOTerm
GO:0004602	glutathione peroxidase activity	molecular_function	Catalysis of the reaction: 2 glutathione + hydrogen peroxide = oxidized glutathione + 2 H2O.	GOTerm
GO:0004605	phosphatidate cytidylyltransferase activity	molecular_function	Catalysis of the reaction: CTP + phosphatidate = diphosphate + CDP-diacylglycerol.	GOTerm
